Total Nacional;Comunidades y Ciudades Autónomas;General, vivienda nueva y de segunda mano;Índices y tasas;Periodo;Total
Nacional;01 Andalucía;Vivienda nueva;Índice;2008T1;119,352
Nacional;01 Andalucía;Vivienda nueva;Índice;2007T4;119,087
Nacional;01 Andalucía;Vivienda nueva;Índice;2007T3;115,067
Nacional;01 Andalucía;Vivienda nueva;Índice;2007T2;111,404
Nacional;01 Andalucía;Vivienda nueva;Índice;2007T1;108,320
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2025T2;172,192
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2025T1;165,385
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2024T4;160,495
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2024T3;157,143
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2024T2;152,082
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2024T1;145,362
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2023T4;142,358
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2023T3;142,718
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2023T2;139,691
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2023T1;135,389
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2022T4;135,208
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2022T3;136,586
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2022T2;134,193
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2022T1;130,414
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2021T4;127,633
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2021T3;125,653
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2021T2;121,954
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2021T1;117,998
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2020T4;118,060
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2020T3;118,623
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2020T2;117,948
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2020T1;118,103
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2019T4;117,395
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2019T3;117,968
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2019T2;115,883
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2019T1;113,854
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2018T4;113,010
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2018T3;111,808
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2018T2;110,011
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2018T1;107,590
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2017T4;107,119
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2017T3;106,209
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2017T2;104,984
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2017T1;103,411
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2016T4;102,650
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2016T3;102,498
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2016T2;102,405
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2016T1;101,510
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2015T4;100,888
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2015T3;101,962
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2015T2;100,619
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2015T1;96,531
Nacional;01 Andalucía;Vivienda segunda mano;Índice;2014T4;98,428
