Grupos ECOICOP;Tipo de dato;Periodo;Total
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2021M03;93,309
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2021M02;90,314
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2021M01;95,346
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2020M12;91,448
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2020M11;90,572
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2020M10;89,625
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2020M09;90,674
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2020M08;89,936
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2020M07;89,690
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2020M06;89,206
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2020M05;87,722
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2020M04;87,674
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2020M03;89,481
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2020M02;91,276
04 Vivienda, agua, electricidad, gas y otros combustibles;Índice;2020M01;92,416
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2025M10;""
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2025M09;113,304
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2025M08;113,169
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2025M07;113,164
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2025M06;113,644
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2025M05;113,523
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2025M04;113,255
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2025M03;113,014
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2025M02;112,700
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2025M01;112,638
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2024M12;113,059
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2024M11;112,901
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2024M10;112,725
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2024M09;112,395
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2024M08;112,245
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2024M07;112,204
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2024M06;112,802
05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Índice;2024M05;112,822
