Comunidades y Ciudades Autónomas;Grupos ECOICOP;Tipo de dato;Periodo;Total
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación anual;2024M03;1,0
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación anual;2024M02;1,4
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación anual;2024M01;1,7
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación en lo que va de año;2024M12;0,6
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación en lo que va de año;2024M11;0,5
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación en lo que va de año;2024M10;0,4
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación en lo que va de año;2024M09;0,1
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación en lo que va de año;2024M08;-0,1
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación en lo que va de año;2024M07;-0,1
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación en lo que va de año;2024M06;0,4
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación en lo que va de año;2024M05;0,4
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación en lo que va de año;2024M04;0,3
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación en lo que va de año;2024M03;0,0
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación en lo que va de año;2024M02;-0,2
Nacional;05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Variación en lo que va de año;2024M01;-0,3
Nacional;06 Sanidad;Índice;2024M12;105,680
Nacional;06 Sanidad;Índice;2024M11;105,573
Nacional;06 Sanidad;Índice;2024M10;105,497
Nacional;06 Sanidad;Índice;2024M09;105,513
Nacional;06 Sanidad;Índice;2024M08;105,432
Nacional;06 Sanidad;Índice;2024M07;105,363
Nacional;06 Sanidad;Índice;2024M06;105,153
Nacional;06 Sanidad;Índice;2024M05;105,146
Nacional;06 Sanidad;Índice;2024M04;104,900
Nacional;06 Sanidad;Índice;2024M03;104,598
Nacional;06 Sanidad;Índice;2024M02;104,269
Nacional;06 Sanidad;Índice;2024M01;103,942
Nacional;06 Sanidad;Variación mensual;2024M12;0,1
Nacional;06 Sanidad;Variación mensual;2024M11;0,1
Nacional;06 Sanidad;Variación mensual;2024M10;0,0
Nacional;06 Sanidad;Variación mensual;2024M09;0,1
Nacional;06 Sanidad;Variación mensual;2024M08;0,1
Nacional;06 Sanidad;Variación mensual;2024M07;0,2
Nacional;06 Sanidad;Variación mensual;2024M06;0,0
Nacional;06 Sanidad;Variación mensual;2024M05;0,2
Nacional;06 Sanidad;Variación mensual;2024M04;0,3
Nacional;06 Sanidad;Variación mensual;2024M03;0,3
Nacional;06 Sanidad;Variación mensual;2024M02;0,3
Nacional;06 Sanidad;Variación mensual;2024M01;0,2
Nacional;06 Sanidad;Variación anual;2024M12;1,9
Nacional;06 Sanidad;Variación anual;2024M11;1,9
Nacional;06 Sanidad;Variación anual;2024M10;1,9
Nacional;06 Sanidad;Variación anual;2024M09;2,0
Nacional;06 Sanidad;Variación anual;2024M08;2,0
Nacional;06 Sanidad;Variación anual;2024M07;2,0
Nacional;06 Sanidad;Variación anual;2024M06;2,0
Nacional;06 Sanidad;Variación anual;2024M05;2,2
Nacional;06 Sanidad;Variación anual;2024M04;2,1
Nacional;06 Sanidad;Variación anual;2024M03;2,1
Nacional;06 Sanidad;Variación anual;2024M02;2,2
Nacional;06 Sanidad;Variación anual;2024M01;2,2
Nacional;06 Sanidad;Variación en lo que va de año;2024M12;1,9
Nacional;06 Sanidad;Variación en lo que va de año;2024M11;1,8
Nacional;06 Sanidad;Variación en lo que va de año;2024M10;1,7
Nacional;06 Sanidad;Variación en lo que va de año;2024M09;1,7
Nacional;06 Sanidad;Variación en lo que va de año;2024M08;1,6
Nacional;06 Sanidad;Variación en lo que va de año;2024M07;1,6
Nacional;06 Sanidad;Variación en lo que va de año;2024M06;1,4
Nacional;06 Sanidad;Variación en lo que va de año;2024M05;1,3
Nacional;06 Sanidad;Variación en lo que va de año;2024M04;1,1
Nacional;06 Sanidad;Variación en lo que va de año;2024M03;0,8
Nacional;06 Sanidad;Variación en lo que va de año;2024M02;0,5
Nacional;06 Sanidad;Variación en lo que va de año;2024M01;0,2
Nacional;07 Transporte;Índice;2024M12;111,858
Nacional;07 Transporte;Índice;2024M11;111,431
Nacional;07 Transporte;Índice;2024M10;110,802
Nacional;07 Transporte;Índice;2024M09;110,622
Nacional;07 Transporte;Índice;2024M08;112,565
Nacional;07 Transporte;Índice;2024M07;113,440
Nacional;07 Transporte;Índice;2024M06;113,155
Nacional;07 Transporte;Índice;2024M05;113,628
Nacional;07 Transporte;Índice;2024M04;114,355
Nacional;07 Transporte;Índice;2024M03;113,628
Nacional;07 Transporte;Índice;2024M02;113,057
Nacional;07 Transporte;Índice;2024M01;111,269
Nacional;07 Transporte;Variación mensual;2024M12;0,4
Nacional;07 Transporte;Variación mensual;2024M11;0,6
Nacional;07 Transporte;Variación mensual;2024M10;0,2
Nacional;07 Transporte;Variación mensual;2024M09;-1,7
Nacional;07 Transporte;Variación mensual;2024M08;-0,8
Nacional;07 Transporte;Variación mensual;2024M07;0,3
Nacional;07 Transporte;Variación mensual;2024M06;-0,4
Nacional;07 Transporte;Variación mensual;2024M05;-0,6
Nacional;07 Transporte;Variación mensual;2024M04;0,6
Nacional;07 Transporte;Variación mensual;2024M03;0,5
Nacional;07 Transporte;Variación mensual;2024M02;1,6
Nacional;07 Transporte;Variación mensual;2024M01;0,1
Nacional;07 Transporte;Variación anual;2024M12;0,6
Nacional;07 Transporte;Variación anual;2024M11;-1,0
Nacional;07 Transporte;Variación anual;2024M10;-3,0
Nacional;07 Transporte;Variación anual;2024M09;-3,9
Nacional;07 Transporte;Variación anual;2024M08;-1,3
Nacional;07 Transporte;Variación anual;2024M07;2,4
Nacional;07 Transporte;Variación anual;2024M06;2,7
Nacional;07 Transporte;Variación anual;2024M05;3,8
Nacional;07 Transporte;Variación anual;2024M04;2,9
Nacional;07 Transporte;Variación anual;2024M03;2,9
Nacional;07 Transporte;Variación anual;2024M02;2,4
Nacional;07 Transporte;Variación anual;2024M01;-0,1
Nacional;07 Transporte;Variación en lo que va de año;2024M12;0,6
Nacional;07 Transporte;Variación en lo que va de año;2024M11;0,3
Nacional;07 Transporte;Variación en lo que va de año;2024M10;-0,3
Nacional;07 Transporte;Variación en lo que va de año;2024M09;-0,5
Nacional;07 Transporte;Variación en lo que va de año;2024M08;1,3
Nacional;07 Transporte;Variación en lo que va de año;2024M07;2,1
Nacional;07 Transporte;Variación en lo que va de año;2024M06;1,8
Nacional;07 Transporte;Variación en lo que va de año;2024M05;2,2
Nacional;07 Transporte;Variación en lo que va de año;2024M04;2,9
Nacional;07 Transporte;Variación en lo que va de año;2024M03;2,2
Nacional;07 Transporte;Variación en lo que va de año;2024M02;1,7
Nacional;07 Transporte;Variación en lo que va de año;2024M01;0,1
Nacional;08 Comunicaciones;Índice;2024M12;100,774
Nacional;08 Comunicaciones;Índice;2024M11;100,791
Nacional;08 Comunicaciones;Índice;2024M10;100,792
Nacional;08 Comunicaciones;Índice;2024M09;101,759
Nacional;08 Comunicaciones;Índice;2024M08;101,848
Nacional;08 Comunicaciones;Índice;2024M07;101,932
Nacional;08 Comunicaciones;Índice;2024M06;102,408
Nacional;08 Comunicaciones;Índice;2024M05;102,385
Nacional;08 Comunicaciones;Índice;2024M04;102,483
Nacional;08 Comunicaciones;Índice;2024M03;102,375
Nacional;08 Comunicaciones;Índice;2024M02;102,467
Nacional;08 Comunicaciones;Índice;2024M01;102,546
Nacional;08 Comunicaciones;Variación mensual;2024M12;0,0
Nacional;08 Comunicaciones;Variación mensual;2024M11;0,0
Nacional;08 Comunicaciones;Variación mensual;2024M10;-0,9
Nacional;08 Comunicaciones;Variación mensual;2024M09;-0,1
Nacional;08 Comunicaciones;Variación mensual;2024M08;-0,1
Nacional;08 Comunicaciones;Variación mensual;2024M07;-0,5
Nacional;08 Comunicaciones;Variación mensual;2024M06;0,0
Nacional;08 Comunicaciones;Variación mensual;2024M05;-0,1
Nacional;08 Comunicaciones;Variación mensual;2024M04;0,1
Nacional;08 Comunicaciones;Variación mensual;2024M03;-0,1
Nacional;08 Comunicaciones;Variación mensual;2024M02;-0,1
Nacional;08 Comunicaciones;Variación mensual;2024M01;1,9
